phrase_index,start_sec,end_sec,duration_sec,transcript_text,original_diarization_speaker,casa_assigned_speaker,attribution_changed,decision_type,attribution_confidence,provisional_status,acoustic_score,temporal_score,linguistic_score,alternate_speaker,alternate_confidence,acoustic_evidence,temporal_evidence,linguistic_evidence,all_evidence
38,163.32,168.22,4.9,It's just a drop of water in an ocean. It's not really something you can notice.,Speaker 1,Speaker 1,False,UNCERTAIN,0.661,False,0.6609,0.75,0.55,Speaker 3,0.5996,moderate acoustic similarity to Speaker 1 (sim=0.52) | speaker continuity from previous turn (Speaker 1),speaker continuity from previous turn (Speaker 1),phrase type: STATEMENT | prev type: STATEMENT,moderate acoustic similarity to Speaker 1 (sim=0.52) | speaker continuity from previous turn (Speaker 1) | phrase type: STATEMENT | prev type: STATEMENT | decision: UNCERTAIN (confidence=0.66; original label preserved)
39,168.56,168.88,0.32,That's right.,Speaker 3,Speaker 3,False,UNCERTAIN,0.5705,False,0.35,0.63,0.7,Speaker 1,0.6135,weak acoustic similarity to Speaker 3 (sim=0.38) | forward continuity: next phrase also Speaker 3,expected turn transition from Speaker 1 | short phrase duration (0.32s) reduces temporal certainty,dialogue pattern: acknowledgement of statement from different speaker | phrase type: AFFIRMATION | prev type: STATEMENT,weak acoustic similarity to Speaker 3 (sim=0.38) | expected turn transition from Speaker 1 | forward continuity: next phrase also Speaker 3 | short phrase duration (0.32s) reduces temporal certainty | dialogue pattern: acknowledgement of statement from different speaker | phrase type: AFFIRMATION | prev type: STATEMENT | decision: UNCERTAIN (confidence=0.57; original label preserved)
40,169.08,170.72,1.64,Just a drop in the ocean.,Speaker 3,Speaker 3,False,CONFIRM,0.7615,False,0.7982,0.85,0.55,Speaker 1,,moderate acoustic similarity to Speaker 3 (sim=0.63) | local continuity: 4/6 neighbors match | speaker continuity from previous turn (Speaker 3) | short pause before (0.20s) supports continuity | forward continuity: next phrase also Speaker 3,speaker continuity from previous turn (Speaker 3) | short pause before (0.20s) supports continuity,dialogue pattern: following affirmation — neutral | phrase type: STATEMENT | prev type: AFFIRMATION,moderate acoustic similarity to Speaker 3 (sim=0.63) | local continuity: 4/6 neighbors match | speaker continuity from previous turn (Speaker 3) | short pause before (0.20s) supports continuity | forward continuity: next phrase also Speaker 3 | dialogue pattern: following affirmation — neutral | phrase type: STATEMENT | prev type: AFFIRMATION | decision: CONFIRM (confidence=0.76 ≥ 0.7)
41,171.34,177.26,5.92,"And now at the very end of today's speech, we heard the phrase to compare and contrast.",Speaker 3,Speaker 3,False,CONFIRM,0.7993,False,0.7914,0.8,0.82,Speaker 1,,moderate acoustic similarity to Speaker 3 (sim=0.62) | local continuity: 5/6 neighbors match | speaker continuity from previous turn (Speaker 3) | forward continuity: next phrase also Speaker 3,speaker continuity from previous turn (Speaker 3),dialogue pattern: continuation from same speaker (expected) | phrase type: CONTINUATION | prev type: STATEMENT,moderate acoustic similarity to Speaker 3 (sim=0.62) | local continuity: 5/6 neighbors match | speaker continuity from previous turn (Speaker 3) | forward continuity: next phrase also Speaker 3 | dialogue pattern: continuation from same speaker (expected) | phrase type: CONTINUATION | prev type: STATEMENT | decision: CONFIRM (confidence=0.80 ≥ 0.7)
42,177.76,182.06,4.3,So we're talking about the X420 computer brand itself.,Speaker 3,Speaker 3,False,CONFIRM,0.7523,False,0.8042,0.8,0.55,Speaker 1,,moderate acoustic similarity to Speaker 3 (sim=0.64) | local continuity: 5/6 neighbors match | speaker continuity from previous turn (Speaker 3) | forward continuity: next phrase also Speaker 3,speaker continuity from previous turn (Speaker 3),phrase type: CONTINUATION | prev type: CONTINUATION,moderate acoustic similarity to Speaker 3 (sim=0.64) | local continuity: 5/6 neighbors match | speaker continuity from previous turn (Speaker 3) | forward continuity: next phrase also Speaker 3 | phrase type: CONTINUATION | prev type: CONTINUATION | decision: CONFIRM (confidence=0.75 ≥ 0.7)
43,182.42,183.8,1.38,Now what does Mr.,Speaker 3,Speaker 3,False,CONFIRM,0.7259,False,0.7334,0.85,0.55,Speaker 1,,moderate acoustic similarity to Speaker 3 (sim=0.55) | local continuity: 4/6 neighbors match | speaker continuity from previous turn (Speaker 3) | short pause before (0.36s) supports continuity | forward continuity: next phrase also Speaker 3,speaker continuity from previous turn (Speaker 3) | short pause before (0.36s) supports continuity,phrase type: STATEMENT | prev type: CONTINUATION,moderate acoustic similarity to Speaker 3 (sim=0.55) | local continuity: 4/6 neighbors match | speaker continuity from previous turn (Speaker 3) | short pause before (0.36s) supports continuity | forward continuity: next phrase also Speaker 3 | phrase type: STATEMENT | prev type: CONTINUATION | decision: CONFIRM (confidence=0.73 ≥ 0.7)
44,184.04,186.6,2.56,Ford mean when he says to compare and contrast?,Speaker 3,Speaker 3,False,CONFIRM,0.7525,False,0.8046,0.8,0.55,Speaker 1,,moderate acoustic similarity to Speaker 3 (sim=0.64) | local continuity: 4/6 neighbors match | speaker continuity from previous turn (Speaker 3) | short pause before (0.24s) supports continuity,speaker continuity from previous turn (Speaker 3) | short pause before (0.24s) supports continuity,phrase type: QUESTION | prev type: STATEMENT,moderate acoustic similarity to Speaker 3 (sim=0.64) | local continuity: 4/6 neighbors match | speaker continuity from previous turn (Speaker 3) | short pause before (0.24s) supports continuity | phrase type: QUESTION | prev type: STATEMENT | decision: CONFIRM (confidence=0.75 ≥ 0.7)
45,187.16,188.64,1.48,"So when we mentioned the word compare,",Speaker 1,Speaker 1,False,UNCERTAIN,0.6457,False,0.6104,0.8,0.55,Speaker 3,0.6088,moderate acoustic similarity to Speaker 1 (sim=0.46) | forward continuity: next phrase also Speaker 1,expected turn transition from Speaker 3 | turn-boundary pause before (0.56s ≥ 0.4s),phrase type: CONTINUATION | prev type: QUESTION,moderate acoustic similarity to Speaker 1 (sim=0.46) | expected turn transition from Speaker 3 | turn-boundary pause before (0.56s ≥ 0.4s) | forward continuity: next phrase also Speaker 1 | phrase type: CONTINUATION | prev type: QUESTION | decision: UNCERTAIN (confidence=0.65; original label preserved)
46,189.2,198.76,9.56,"we are basically trying to determine how they are similar in many ways, the characteristics of how they are similar. And to contrast is how they are different, right?",Speaker 1,Speaker 1,False,UNCERTAIN,0.6433,False,0.6287,0.75,0.55,Speaker 3,0.5786,moderate acoustic similarity to Speaker 1 (sim=0.48) | speaker continuity from previous turn (Speaker 1),speaker continuity from previous turn (Speaker 1),phrase type: QUESTION | prev type: CONTINUATION,moderate acoustic similarity to Speaker 1 (sim=0.48) | speaker continuity from previous turn (Speaker 1) | phrase type: QUESTION | prev type: CONTINUATION | decision: UNCERTAIN (confidence=0.64; original label preserved)
47,199.16,201.18,2.02,That's right. So let's use an example.,Speaker 3,Speaker 3,False,CONFIRM,0.8046,False,0.8084,0.8,0.8,Speaker 1,,moderate acoustic similarity to Speaker 3 (sim=0.70) | forward continuity: next phrase also Speaker 3,expected turn transition from Speaker 1 | turn-boundary pause before (0.40s ≥ 0.4s),dialogue pattern: expected question→response from different speaker | phrase type: STATEMENT | prev type: QUESTION,moderate acoustic similarity to Speaker 3 (sim=0.70) | expected turn transition from Speaker 1 | turn-boundary pause before (0.40s ≥ 0.4s) | forward continuity: next phrase also Speaker 3 | dialogue pattern: expected question→response from different speaker | phrase type: STATEMENT | prev type: QUESTION | decision: CONFIRM (confidence=0.80 ≥ 0.7)
48,201.78,205.04,3.26,Perhaps we could say Pepsi and Coca-Cola.,Speaker 3,Speaker 3,False,CONFIRM,0.7049,False,0.718,0.8,0.55,Speaker 1,,moderate acoustic similarity to Speaker 3 (sim=0.59) | speaker continuity from previous turn (Speaker 3) | forward continuity: next phrase also Speaker 3,speaker continuity from previous turn (Speaker 3),phrase type: STATEMENT | prev type: STATEMENT,moderate acoustic similarity to Speaker 3 (sim=0.59) | speaker continuity from previous turn (Speaker 3) | forward continuity: next phrase also Speaker 3 | phrase type: STATEMENT | prev type: STATEMENT | decision: CONFIRM (confidence=0.70 ≥ 0.7)
49,205.2,206.36,1.16,Let's compare and contrast.,Speaker 3,Speaker 3,False,UNCERTAIN,0.6874,False,0.6862,0.8,0.55,Speaker 2,0.5589,moderate acoustic similarity to Speaker 3 (sim=0.55) | speaker continuity from previous turn (Speaker 3) | short pause before (0.16s) supports continuity,speaker continuity from previous turn (Speaker 3) | short pause before (0.16s) supports continuity,phrase type: STATEMENT | prev type: STATEMENT,moderate acoustic similarity to Speaker 3 (sim=0.55) | speaker continuity from previous turn (Speaker 3) | short pause before (0.16s) supports continuity | phrase type: STATEMENT | prev type: STATEMENT | decision: UNCERTAIN (confidence=0.69; original label preserved)
50,207.68,209.8,2.12,So they're both carbonated beverages.,Speaker 1,Speaker 1,False,UNCERTAIN,0.6437,False,0.6658,0.75,0.45,Speaker 3,0.6053,moderate acoustic similarity to Speaker 1 (sim=0.53),expected turn transition from Speaker 3 | turn-boundary pause before (1.32s ≥ 0.4s),dialogue pattern: continuation from different speaker (less expected) | phrase type: CONTINUATION | prev type: STATEMENT,moderate acoustic similarity to Speaker 1 (sim=0.53) | expected turn transition from Speaker 3 | turn-boundary pause before (1.32s ≥ 0.4s) | dialogue pattern: continuation from different speaker (less expected) | phrase type: CONTINUATION | prev type: STATEMENT | decision: UNCERTAIN (confidence=0.64; original label preserved)
51,210.52,211.6,1.08,They are both sweet.,Speaker 3,Speaker 3,False,UNCERTAIN,0.6657,False,0.6694,0.75,0.55,Speaker 1,0.619,moderate acoustic similarity to Speaker 3 (sim=0.53),expected turn transition from Speaker 1 | turn-boundary pause before (0.72s ≥ 0.4s),phrase type: STATEMENT | prev type: CONTINUATION,moderate acoustic similarity to Speaker 3 (sim=0.53) | expected turn transition from Speaker 1 | turn-boundary pause before (0.72s ≥ 0.4s) | phrase type: STATEMENT | prev type: CONTINUATION | decision: UNCERTAIN (confidence=0.67; original label preserved)
52,212.4,213.02,0.62,"And they're both,",Speaker 1,Speaker 1,False,UNCERTAIN,0.6008,False,0.6378,0.72,0.45,Speaker 3,0.6251,moderate acoustic similarity to Speaker 1 (sim=0.50) | forward continuity: next phrase also Speaker 1,expected turn transition from Speaker 3 | turn-boundary pause before (0.80s ≥ 0.4s) | short phrase duration (0.62s) reduces temporal certainty,dialogue pattern: continuation from different speaker (less expected) | phrase type: CONTINUATION | prev type: STATEMENT,moderate acoustic similarity to Speaker 1 (sim=0.50) | expected turn transition from Speaker 3 | turn-boundary pause before (0.80s ≥ 0.4s) | forward continuity: next phrase also Speaker 1 | short phrase duration (0.62s) reduces temporal certainty | dialogue pattern: continuation from different speaker (less expected) | phrase type: CONTINUATION | prev type: STATEMENT | decision: UNCERTAIN (confidence=0.60; original label preserved)
53,213.5,214.94,1.44,they're pretty much the same color.,Speaker 1,Speaker 1,False,UNCERTAIN,0.6434,False,0.6289,0.75,0.55,Speaker 3,0.5849,moderate acoustic similarity to Speaker 1 (sim=0.48) | speaker continuity from previous turn (Speaker 1),speaker continuity from previous turn (Speaker 1),phrase type: STATEMENT | prev type: CONTINUATION,moderate acoustic similarity to Speaker 1 (sim=0.48) | speaker continuity from previous turn (Speaker 1) | phrase type: STATEMENT | prev type: CONTINUATION | decision: UNCERTAIN (confidence=0.64; original label preserved)
54,215.3,215.68,0.38,That's right.,Speaker 3,Speaker 3,False,UNCERTAIN,0.6725,False,0.69,0.63,0.7,Speaker 1,0.6271,moderate acoustic similarity to Speaker 3 (sim=0.56) | forward continuity: next phrase also Speaker 3,expected turn transition from Speaker 1 | short phrase duration (0.38s) reduces temporal certainty,dialogue pattern: acknowledgement of statement from different speaker | phrase type: AFFIRMATION | prev type: STATEMENT,moderate acoustic similarity to Speaker 3 (sim=0.56) | expected turn transition from Speaker 1 | forward continuity: next phrase also Speaker 3 | short phrase duration (0.38s) reduces temporal certainty | dialogue pattern: acknowledgement of statement from different speaker | phrase type: AFFIRMATION | prev type: STATEMENT | decision: UNCERTAIN (confidence=0.67; original label preserved)
55,215.88,217.58,1.7,And they're also fairly cheap.,Speaker 3,Speaker 3,False,CONFIRM,0.75,False,0.7772,0.85,0.55,Speaker 1,,moderate acoustic similarity to Speaker 3 (sim=0.66) | speaker continuity from previous turn (Speaker 3) | short pause before (0.20s) supports continuity | forward continuity: next phrase also Speaker 3,speaker continuity from previous turn (Speaker 3) | short pause before (0.20s) supports continuity,dialogue pattern: following affirmation — neutral | phrase type: CONTINUATION | prev type: AFFIRMATION,moderate acoustic similarity to Speaker 3 (sim=0.66) | speaker continuity from previous turn (Speaker 3) | short pause before (0.20s) supports continuity | forward continuity: next phrase also Speaker 3 | dialogue pattern: following affirmation — neutral | phrase type: CONTINUATION | prev type: AFFIRMATION | decision: CONFIRM (confidence=0.75 ≥ 0.7)
56,218.04,224.44,6.4,They have about the same price. But I would say that Coca-Cola tastes more like prune.,Speaker 3,Speaker 3,False,CONFIRM,0.7778,False,0.8733,0.75,0.55,Speaker 1,,moderate acoustic similarity to Speaker 3 (sim=0.72) | local continuity: 4/6 neighbors match | speaker continuity from previous turn (Speaker 3),speaker continuity from previous turn (Speaker 3),phrase type: STATEMENT | prev type: CONTINUATION,moderate acoustic similarity to Speaker 3 (sim=0.72) | local continuity: 4/6 neighbors match | speaker continuity from previous turn (Speaker 3) | phrase type: STATEMENT | prev type: CONTINUATION | decision: CONFIRM (confidence=0.78 ≥ 0.7)
57,224.9,229.86,4.96,So that would be a contrasting characteristic of Coca-Cola is that maybe it tastes a little bit sweeter.,Speaker 1,Speaker 1,False,UNCERTAIN,0.6159,False,0.6152,0.75,0.45,Speaker 3,0.6006,moderate acoustic similarity to Speaker 1 (sim=0.53) | local discontinuity: no neighbors match assigned speaker,expected turn transition from Speaker 3 | turn-boundary pause before (0.46s ≥ 0.4s),dialogue pattern: continuation from different speaker (less expected) | phrase type: CONTINUATION | prev type: STATEMENT,moderate acoustic similarity to Speaker 1 (sim=0.53) | local discontinuity: no neighbors match assigned speaker | expected turn transition from Speaker 3 | turn-boundary pause before (0.46s ≥ 0.4s) | dialogue pattern: continuation from different speaker (less expected) | phrase type: CONTINUATION | prev type: STATEMENT | decision: UNCERTAIN (confidence=0.62; original label preserved)
58,230.18,230.48,0.3,It does.,Speaker 3,Speaker 3,False,UNCERTAIN,0.533,False,0.4,0.63,0.55,Speaker 1,0.6232,weak acoustic similarity to Speaker 3 (sim=0.41) | local continuity: 5/6 neighbors match | forward continuity: next phrase also Speaker 3,expected turn transition from Speaker 1 | short phrase duration (0.30s) reduces temporal certainty,phrase type: STATEMENT | prev type: CONTINUATION,weak acoustic similarity to Speaker 3 (sim=0.41) | local continuity: 5/6 neighbors match | expected turn transition from Speaker 1 | forward continuity: next phrase also Speaker 3 | short phrase duration (0.30s) reduces temporal certainty | phrase type: STATEMENT | prev type: CONTINUATION | decision: UNCERTAIN (confidence=0.53; original label preserved)
59,230.66,233.64,2.98,And you could also say it's easier to find Coca-Cola.,Speaker 3,Speaker 3,False,CONFIRM,0.824,False,0.8136,0.85,0.82,Speaker 1,,moderate acoustic similarity to Speaker 3 (sim=0.65) | local continuity: 5/6 neighbors match | speaker continuity from previous turn (Speaker 3) | short pause before (0.18s) supports continuity | forward continuity: next phrase also Speaker 3,speaker continuity from previous turn (Speaker 3) | short pause before (0.18s) supports continuity,dialogue pattern: continuation from same speaker (expected) | phrase type: CONTINUATION | prev type: STATEMENT,moderate acoustic similarity to Speaker 3 (sim=0.65) | local continuity: 5/6 neighbors match | speaker continuity from previous turn (Speaker 3) | short pause before (0.18s) supports continuity | forward continuity: next phrase also Speaker 3 | dialogue pattern: continuation from same speaker (expected) | phrase type: CONTINUATION | prev type: STATEMENT | decision: CONFIRM (confidence=0.82 ≥ 0.7)
60,234.02,236.3,2.28,Pepsi is less easy to find sometimes.,Speaker 3,Speaker 3,False,CONFIRM,0.7969,False,0.8625,0.85,0.55,Speaker 1,,moderate acoustic similarity to Speaker 3 (sim=0.71) | local continuity: 5/6 neighbors match | speaker continuity from previous turn (Speaker 3) | short pause before (0.38s) supports continuity | forward continuity: next phrase also Speaker 3,speaker continuity from previous turn (Speaker 3) | short pause before (0.38s) supports continuity,phrase type: STATEMENT | prev type: CONTINUATION,moderate acoustic similarity to Speaker 3 (sim=0.71) | local continuity: 5/6 neighbors match | speaker continuity from previous turn (Speaker 3) | short pause before (0.38s) supports continuity | forward continuity: next phrase also Speaker 3 | phrase type: STATEMENT | prev type: CONTINUATION | decision: CONFIRM (confidence=0.80 ≥ 0.7)
61,236.56,236.96,0.4,That's right.,Speaker 3,Speaker 3,False,UNCERTAIN,0.6404,False,0.7171,0.765,0.45,Speaker 1,0.5786,moderate acoustic similarity to Speaker 3 (sim=0.53) | local continuity: 5/6 neighbors match | speaker continuity from previous turn (Speaker 3) | short pause before (0.26s) supports continuity | forward continuity: next phrase also Speaker 3,speaker continuity from previous turn (Speaker 3) | short pause before (0.26s) supports continuity | short phrase duration (0.40s) reduces temporal certainty,dialogue pattern: statement→acknowledgement from same speaker (slight suspicion) | phrase type: AFFIRMATION | prev type: STATEMENT,moderate acoustic similarity to Speaker 3 (sim=0.53) | local continuity: 5/6 neighbors match | speaker continuity from previous turn (Speaker 3) | short pause before (0.26s) supports continuity | forward continuity: next phrase also Speaker 3 | short phrase duration (0.40s) reduces temporal certainty | dialogue pattern: statement→acknowledgement from same speaker (slight suspicion) | phrase type: AFFIRMATION | prev type: STATEMENT | decision: UNCERTAIN (confidence=0.64; original label preserved)
62,237.14,237.92,0.78,Another way that they're different.,Speaker 3,Speaker 3,False,CONFIRM,0.7073,False,0.8234,0.765,0.55,Speaker 2,,moderate acoustic similarity to Speaker 3 (sim=0.66) | local continuity: 4/6 neighbors match | speaker continuity from previous turn (Speaker 3) | short pause before (0.18s) supports continuity | forward continuity: next phrase also Speaker 3,speaker continuity from previous turn (Speaker 3) | short pause before (0.18s) supports continuity | short phrase duration (0.78s) reduces temporal certainty,dialogue pattern: following affirmation — neutral | phrase type: STATEMENT | prev type: AFFIRMATION,moderate acoustic similarity to Speaker 3 (sim=0.66) | local continuity: 4/6 neighbors match | speaker continuity from previous turn (Speaker 3) | short pause before (0.18s) supports continuity | forward continuity: next phrase also Speaker 3 | short phrase duration (0.78s) reduces temporal certainty | dialogue pattern: following affirmation — neutral | phrase type: STATEMENT | prev type: AFFIRMATION | decision: CONFIRM (confidence=0.71 ≥ 0.7)
63,238.14,243.24,5.1,So basically to compare and contrast is to point out how two things are similar and how they're different.,Speaker 3,Speaker 3,False,CONFIRM,0.8125,False,0.8155,0.8,0.82,Speaker 1,,moderate acoustic similarity to Speaker 3 (sim=0.71) | speaker continuity from previous turn (Speaker 3) | short pause before (0.22s) supports continuity,speaker continuity from previous turn (Speaker 3) | short pause before (0.22s) supports continuity,dialogue pattern: continuation from same speaker (expected) | phrase type: CONTINUATION | prev type: STATEMENT,moderate acoustic similarity to Speaker 3 (sim=0.71) | speaker continuity from previous turn (Speaker 3) | short pause before (0.22s) supports continuity | dialogue pattern: continuation from same speaker (expected) | phrase type: CONTINUATION | prev type: STATEMENT | decision: CONFIRM (confidence=0.81 ≥ 0.7)
64,243.56,244.1,0.54,That's right.,Speaker 1,Speaker 1,False,UNCERTAIN,0.518,False,0.35,0.63,0.55,Speaker 3,0.6362,weak acoustic similarity to Speaker 1 (sim=0.37) | forward continuity: next phrase also Speaker 1,expected turn transition from Speaker 3 | short phrase duration (0.54s) reduces temporal certainty,phrase type: AFFIRMATION | prev type: CONTINUATION,weak acoustic similarity to Speaker 1 (sim=0.37) | expected turn transition from Speaker 3 | forward continuity: next phrase also Speaker 1 | short phrase duration (0.54s) reduces temporal certainty | phrase type: AFFIRMATION | prev type: CONTINUATION | decision: UNCERTAIN (confidence=0.52; original label preserved)
65,244.6,252.3,7.7,So we've had a lot of interesting phrases there. I think very useful if you're talking about business and marketing and sales.,Speaker 1,Speaker 1,False,UNCERTAIN,0.6718,False,0.6578,0.8,0.55,Speaker 3,0.5592,moderate acoustic similarity to Speaker 1 (sim=0.46) | local continuity: 4/6 neighbors match | speaker continuity from previous turn (Speaker 1) | forward continuity: next phrase also Speaker 1,speaker continuity from previous turn (Speaker 1),dialogue pattern: following affirmation — neutral | phrase type: CONTINUATION | prev type: AFFIRMATION,moderate acoustic similarity to Speaker 1 (sim=0.46) | local continuity: 4/6 neighbors match | speaker continuity from previous turn (Speaker 1) | forward continuity: next phrase also Speaker 1 | dialogue pattern: following affirmation — neutral | phrase type: CONTINUATION | prev type: AFFIRMATION | decision: UNCERTAIN (confidence=0.67; original label preserved)
66,252.92,255.28,2.36,So why don't we listen to our dialogue one last time.,Speaker 1,Speaker 1,False,UNCERTAIN,0.693,False,0.6964,0.8,0.55,Speaker 3,0.5835,moderate acoustic similarity to Speaker 1 (sim=0.51) | local continuity: 5/6 neighbors match | speaker continuity from previous turn (Speaker 1) | forward continuity: next phrase also Speaker 1,speaker continuity from previous turn (Speaker 1),phrase type: CONTINUATION | prev type: CONTINUATION,moderate acoustic similarity to Speaker 1 (sim=0.51) | local continuity: 5/6 neighbors match | speaker continuity from previous turn (Speaker 1) | forward continuity: next phrase also Speaker 1 | phrase type: CONTINUATION | prev type: CONTINUATION | decision: UNCERTAIN (confidence=0.69; original label preserved)
67,260.24,265.0,4.76,"As all of you are well aware, competition in the laptop computer sector is intense.",Speaker 1,Speaker 1,False,UNCERTAIN,0.53,False,0.4,0.8,0.55,Speaker 2,0.5766,weak acoustic similarity to Speaker 1 (sim=0.36) | local continuity: 6/6 neighbors match | speaker continuity from previous turn (Speaker 1) | forward continuity: next phrase also Speaker 1,speaker continuity from previous turn (Speaker 1),phrase type: STATEMENT | prev type: CONTINUATION,weak acoustic similarity to Speaker 1 (sim=0.36) | local continuity: 6/6 neighbors match | speaker continuity from previous turn (Speaker 1) | forward continuity: next phrase also Speaker 1 | phrase type: STATEMENT | prev type: CONTINUATION | decision: UNCERTAIN (confidence=0.53; original label preserved)
68,265.44,267.7,2.26,We continue to fight with our competitors for market share.,Speaker 1,Speaker 1,False,CONFIRM,0.7955,False,0.8828,0.8,0.55,Speaker 3,,moderate acoustic similarity to Speaker 1 (sim=0.73) | local continuity: 6/6 neighbors match | speaker continuity from previous turn (Speaker 1) | forward continuity: next phrase also Speaker 1,speaker continuity from previous turn (Speaker 1),phrase type: STATEMENT | prev type: STATEMENT,moderate acoustic similarity to Speaker 1 (sim=0.73) | local continuity: 6/6 neighbors match | speaker continuity from previous turn (Speaker 1) | forward continuity: next phrase also Speaker 1 | phrase type: STATEMENT | prev type: STATEMENT | decision: CONFIRM (confidence=0.80 ≥ 0.7)
69,267.96,273.56,5.6,And this is the case both in the developed markets in the West as well as more developing markets in Asia and Africa.,Speaker 1,Speaker 1,False,CONFIRM,0.8685,False,0.8945,0.85,0.82,Speaker 2,,moderate acoustic similarity to Speaker 1 (sim=0.74) | local continuity: 6/6 neighbors match | speaker continuity from previous turn (Speaker 1) | short pause before (0.26s) supports continuity | forward continuity: next phrase also Speaker 1,speaker continuity from previous turn (Speaker 1) | short pause before (0.26s) supports continuity,dialogue pattern: continuation from same speaker (expected) | phrase type: CONTINUATION | prev type: STATEMENT,moderate acoustic similarity to Speaker 1 (sim=0.74) | local continuity: 6/6 neighbors match | speaker continuity from previous turn (Speaker 1) | short pause before (0.26s) supports continuity | forward continuity: next phrase also Speaker 1 | dialogue pattern: continuation from same speaker (expected) | phrase type: CONTINUATION | prev type: STATEMENT | decision: CONFIRM (confidence=0.87 ≥ 0.7)
70,274.16,277.42,3.26,"You may ask yourself, why is this market so cutthroat?",Speaker 1,Speaker 1,False,CONFIRM,0.7446,False,0.7902,0.8,0.55,Speaker 3,,moderate acoustic similarity to Speaker 1 (sim=0.62) | local continuity: 6/6 neighbors match | speaker continuity from previous turn (Speaker 1) | forward continuity: next phrase also Speaker 1,speaker continuity from previous turn (Speaker 1),phrase type: QUESTION | prev type: CONTINUATION,moderate acoustic similarity to Speaker 1 (sim=0.62) | local continuity: 6/6 neighbors match | speaker continuity from previous turn (Speaker 1) | forward continuity: next phrase also Speaker 1 | phrase type: QUESTION | prev type: CONTINUATION | decision: CONFIRM (confidence=0.74 ≥ 0.7)
71,277.8,279.18,1.38,"Well, the answer is simple.",Speaker 1,Speaker 1,False,CONFIRM,0.7756,False,0.8238,0.85,0.55,Speaker 2,,moderate acoustic similarity to Speaker 1 (sim=0.66) | local continuity: 6/6 neighbors match | speaker continuity from previous turn (Speaker 1) | short pause before (0.38s) supports continuity | forward continuity: next phrase also Speaker 1,speaker continuity from previous turn (Speaker 1) | short pause before (0.38s) supports continuity,phrase type: CONTINUATION | prev type: QUESTION,moderate acoustic similarity to Speaker 1 (sim=0.66) | local continuity: 6/6 neighbors match | speaker continuity from previous turn (Speaker 1) | short pause before (0.38s) supports continuity | forward continuity: next phrase also Speaker 1 | phrase type: CONTINUATION | prev type: QUESTION | decision: CONFIRM (confidence=0.78 ≥ 0.7)
72,279.7,284.64,4.94,There's a huge untapped potential market out there with a huge untapped potential for profit.,Speaker 1,Speaker 1,False,CONFIRM,0.7844,False,0.8625,0.8,0.55,Speaker 2,,moderate acoustic similarity to Speaker 1 (sim=0.70) | local continuity: 6/6 neighbors match | speaker continuity from previous turn (Speaker 1) | forward continuity: next phrase also Speaker 1,speaker continuity from previous turn (Speaker 1),phrase type: STATEMENT | prev type: CONTINUATION,moderate acoustic similarity to Speaker 1 (sim=0.70) | local continuity: 6/6 neighbors match | speaker continuity from previous turn (Speaker 1) | forward continuity: next phrase also Speaker 1 | phrase type: STATEMENT | prev type: CONTINUATION | decision: CONFIRM (confidence=0.78 ≥ 0.7)
73,285.4,287.46,2.06,"If I bring up the first graph here,",Speaker 1,Speaker 1,False,CONFIRM,0.7783,False,0.8515,0.8,0.55,Speaker 2,,moderate acoustic similarity to Speaker 1 (sim=0.69) | local continuity: 6/6 neighbors match | speaker continuity from previous turn (Speaker 1) | forward continuity: next phrase also Speaker 1,speaker continuity from previous turn (Speaker 1),phrase type: STATEMENT | prev type: STATEMENT,moderate acoustic similarity to Speaker 1 (sim=0.69) | local continuity: 6/6 neighbors match | speaker continuity from previous turn (Speaker 1) | forward continuity: next phrase also Speaker 1 | phrase type: STATEMENT | prev type: STATEMENT | decision: CONFIRM (confidence=0.78 ≥ 0.7)
74,287.92,291.48,3.56,it shows the increase in terms of number of computer owners across the globe.,Speaker 1,Speaker 1,False,CONFIRM,0.7728,False,0.8415,0.8,0.55,Speaker 2,,moderate acoustic similarity to Speaker 1 (sim=0.68) | local continuity: 6/6 neighbors match | speaker continuity from previous turn (Speaker 1) | forward continuity: next phrase also Speaker 1,speaker continuity from previous turn (Speaker 1),phrase type: STATEMENT | prev type: STATEMENT,moderate acoustic similarity to Speaker 1 (sim=0.68) | local continuity: 6/6 neighbors match | speaker continuity from previous turn (Speaker 1) | forward continuity: next phrase also Speaker 1 | phrase type: STATEMENT | prev type: STATEMENT | decision: CONFIRM (confidence=0.77 ≥ 0.7)
75,291.86,297.92,6.06,"As you can see in the 1980s, computer ownership amounted to around 0.5% of the total world population.",Speaker 1,Speaker 1,False,CONFIRM,0.8033,False,0.8742,0.85,0.55,Speaker 2,,moderate acoustic similarity to Speaker 1 (sim=0.72) | local continuity: 6/6 neighbors match | speaker continuity from previous turn (Speaker 1) | short pause before (0.38s) supports continuity | forward continuity: next phrase also Speaker 1,speaker continuity from previous turn (Speaker 1) | short pause before (0.38s) supports continuity,phrase type: STATEMENT | prev type: STATEMENT,moderate acoustic similarity to Speaker 1 (sim=0.72) | local continuity: 6/6 neighbors match | speaker continuity from previous turn (Speaker 1) | short pause before (0.38s) supports continuity | forward continuity: next phrase also Speaker 1 | phrase type: STATEMENT | prev type: STATEMENT | decision: CONFIRM (confidence=0.80 ≥ 0.7)
